max_change,min_change,start,end,amount,turn,change,up_count,down_count,name,industry,class
3.36,-3.61,41.58,41.59,335889.53527980536,2.0055885644768856,8.5,209,202,杰瑞股份,化工机械,0
1.64,-2.11,20.92,21.42,371629.83381995134,3.810912408759125,8.43,207,204,联创电子,元器件,0
2.06,-2.27,22.01,22.67,341435.3063703703,5.661145432098764,8.42,190,215,东信和平,通信设备,0
3.25,-3.38,36.63,36.01,442795.40072992706,2.3581250608272506,8.38,219,192,光迅科技,通信设备,0
1.46,-1.36,17.0,16.51,327825.41837037035,8.956505679012347,8.31,222,183,丰乐种业,种植业,0
1.27,-1.51,15.24,15.59,357708.5583541147,5.203756608478803,8.09,227,174,苏州固锝,半导体,0
1.51,-2.43,25.58,26.34,400371.4562043796,1.9535562043795625,8.08,223,188,欣旺达,元器件,0
2.24,-2.78,31.29,31.65,398212.77664233575,2.608061557177616,7.99,224,187,顺络电子,元器件,0
1.61,-1.73,17.8,17.73,309801.4669099757,5.604545255474453,7.95,215,196,亚光科技,半导体,0
1.09,-1.22,12.96,13.19,308143.7496350365,4.003276885644769,7.92,217,194,华西股份,化纤,0
2.17,-1.96,25.44,25.72,448915.29975669103,3.5382338199513383,7.87,211,200,昆仑万维,互联网,0
1.92,-2.28,22.55,23.21,479489.2549878346,4.672856447688566,7.67,219,192,上海贝岭,半导体,0
2.09,-1.74,16.94,17.45,328562.7970501475,8.545729793510326,7.66,195,144,明阳智能,机械基件,0
3.69,-4.06,44.63,40.57,329289.08939522546,15.88365145888594,7.45,200,177,新疆交建,建筑工程,0
2.62,-2.84,36.57,35.91,262430.85875,0.7268064999999999,7.43,202,198,汇川技术,电器仪表,0
1.89,-1.99,21.71,20.74,306871.18085158145,6.019895620437956,7.43,218,193,康强电子,半导体,0
3.18,-3.23,37.12,37.48,348232.4048661801,3.181717518248175,7.4,202,209,当升科技,矿物制品,0
1.6,-1.73,17.88,17.61,265475.3481751825,2.9294318734793188,7.23,231,180,共进股份,通信设备,0
1.46,-1.59,17.4,17.47,379031.88478802994,2.2921785536159605,7.21,207,194,银泰黄金,黄金,0
1.64,-1.8,18.7,18.01,295088.33878048783,2.923991219512195,7.18,221,189,大唐电信,通信设备,0
2.34,-2.72,27.24,27.5,387912.1245742092,5.846351094890513,7.15,222,189,硕贝德,通信设备,0
1.35,-1.36,15.0,14.88,278118.3579075426,3.3474007299270068,7.13,221,190,远光软件,软件服务,0
1.13,-1.17,12.91,12.43,446375.0055961071,6.094543309002433,7.02,214,197,二六三,电信运营,0
2.69,-2.88,31.9,29.59,272060.33508515806,4.237074209245742,7.0,203,208,九鼎新材,玻璃,0
2.68,-2.5700000000000003,31.75,32.16,409490.07153284666,3.0542131386861318,6.98,207,204,游族网络,互联网,0
2.53,-2.64,28.5,27.78,270317.6462287105,6.675118004866179,6.96,204,207,台基股份,半导体,0
1.12,-1.25,13.0,12.48,280682.9060827251,6.053650364963503,6.88,224,187,金健米业,农业综合,0
1.55,-1.69,16.66,17.28,305226.3693430657,5.060116301703164,6.84,220,191,超声电子,元器件,0
1.76,-2.14,21.22,21.44,256495.11727493923,2.9188318734793186,6.82,215,196,思源电气,电气设备,0
2.7,-2.99,31.1,31.46,333684.53598997486,1.1402696741854637,6.8,217,182,中国船舶,船舶,0
1.36,-1.56,16.22,16.19,272457.53414634144,2.0603321951219518,6.76,210,200,航天发展,通信设备,0
2.24,-2.93,34.39,33.76,277904.50510948896,3.088011678832117,6.53,206,205,舍得酒业,白酒,0
1.22,-1.23,13.84,13.62,435214.0622871046,1.9340734793187344,6.49,230,181,广电运通,IT设备,0
1.7000000000000002,-1.87,19.0,18.66,305379.3973479319,6.7037347931873486,6.45,208,203,中钢天源,元器件,0
12.09,-3.79,43.52,39.56,257448.4756097561,18.857012195121953,6.41,23,18,安宁股份,小金属,0
1.55,-1.03,17.6,17.73,409531.3150851581,1.9302394160583944,6.28,217,194,北大荒,种植业,0
2.22,-2.44,26.0,24.43,275222.839125,4.735971749999999,6.21,215,185,通产丽星,塑料,0
1.72,-1.63,20.68,20.8,262672.97299270076,1.1268333333333334,6.14,216,195,辽宁成大,商贸代理,0
1.27,-1.49,14.31,14.93,325676.5216545012,2.2443294403892944,6.09,221,190,横店东磁,元器件,0
2.72,-3.07,35.95,35.8,396852.68175182474,0.06640048661800486,6.06,209,202,中国人寿,保险,0
1.4,-1.59,16.0,15.93,472499.0440389295,3.368428223844282,5.99,225,186,太极实业,半导体,0
1.1,-1.19,13.58,13.75,338177.41995133826,2.9853386861313878,5.96,206,205,阳光电源,电气设备,0
7.1,-2.6,28.11,27.43,292552.7305263158,15.984157894736846,5.93,11,8,威奥股份,运输设备,0
1.29,-1.26,17.13,17.7,262214.74793187354,3.0222141119221413,5.93,217,194,万年青,水泥,0
0.88,-1.06,11.2,11.41,269401.3048661801,4.7681467153284665,5.9,224,187,智光电气,电气设备,0
1.25,-1.51,16.38,16.7,485888.7277372264,4.894105839416059,5.81,237,174,有研新材,半导体,0
1.69,-1.86,19.0,18.62,268221.8581751825,3.805488807785888,5.8,214,197,永太科技,化工原料,0
1.22,-1.19,13.75,13.77,352853.5389294404,1.5639194647201946,5.41,225,186,海格通信,通信设备,0
