industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
软件服务,捷顺科技,1.12,-1.08,13.12,13.19,79564.75279805354,2.3089586374695865,6.12,220,191
家居用品,惠达卫浴,1.44,-1.43,16.45,16.89,44489.19462287105,1.433154501216545,6.12,217,194
公共交通,申通地铁,1.54,-1.6800000000000002,16.23,16.9,54968.249878345494,0.9894751824817517,6.1,228,183
元器件,横店东磁,1.27,-1.49,14.31,14.93,325676.5216545012,2.2443294403892944,6.09,221,190
机械基件,德恩精工,5.1,-3.79,37.02,37.86,98988.8372421875,10.811496484375,6.08,136,120
汽车配件,特尔佳,1.6,-1.99,19.91,19.91,68085.14467153285,3.2655379562043794,6.08,219,192
证券,长城证券,2.78,-1.74,18.25,18.36,634036.636575,10.40231,6.08,195,205
化工原料,石大胜华,4.15,-3.9,44.0,45.66,201963.9715328467,3.0699793187347932,6.07,206,205
IT设备,华力创通,1.34,-1.47,14.8,14.74,208721.07615571772,4.497853527980535,6.07,227,184
保险,中国人寿,2.72,-3.07,35.95,35.8,396852.6817518248,0.06640048661800486,6.06,209,202
矿物制品,金太阳,3.7,-4.13,42.18,43.1,59681.706593673975,7.029771776155718,6.06,221,190
元器件,兴瑞科技,3.21,-3.19,38.18,38.53,190724.7116058394,14.441633576642335,6.06,214,197
化工原料,星源材质,3.52,-3.44,41.98,40.17,157424.703406326,3.960353771289537,6.03,214,197
百货,广百股份,1.31,-1.04,13.61,14.4,25118.052758620688,0.7662672413793105,6.01,222,184
综合类,ST仰帆,0.81,-0.86,17.6,17.18,7672.788897058824,0.39328946078431376,6.0,213,195
半导体,太极实业,1.4,-1.59,16.0,15.93,472499.0440389295,3.368428223844282,5.99,225,186
汽车配件,贝斯特,1.75,-1.67,21.07,21.15,45486.78513381995,3.6176189781021906,5.98,207,204
化工原料,湘潭电化,1.03,-1.11,11.9,11.88,98171.20632603405,2.583858150851582,5.97,220,191
塑料,中来股份,2.21,-1.7000000000000002,25.19,25.71,71787.74824817518,2.695620194647202,5.96,203,208
电气设备,阳光电源,1.1,-1.19,13.58,13.75,338177.41995133826,2.9853386861313873,5.96,206,205
染料涂料,世名科技,1.73,-1.96,21.4,21.11,32319.61705596107,2.703645498783455,5.96,215,196
多元金融,海德股份,1.4,-1.35,16.02,16.45,99655.13880778589,4.5929761557177615,5.95,220,191
乳制品,伊利股份,2.38,-2.71,34.5,34.47,1490510.0656934306,0.8675990267639904,5.95,217,194
运输设备,威奥股份,7.1,-2.6,28.11,27.43,292552.7305263158,15.984157894736843,5.93,11,8
元器件,长信科技,1.0,-1.27,13.95,13.91,794913.9994987469,4.030887468671679,5.93,223,176
水泥,万年青,1.29,-1.26,17.13,17.7,262214.7479318735,3.0222141119221413,5.93,217,194
